"Sr No","Team 1 Code","Team 2 Code","Match Date Time (IST)",MatchId
1,RUS,KSA,"2018-06-14 20:30:00",300331503
2,EGY,URU,"2018-06-15 17:30:00",300353632
3,MAR,IRN,"2018-06-15 20:30:00",300331526
4,POR,ESP,"2018-06-15 23:30:00",300331524
5,FRA,AUS,"2018-06-16 15:30:00",300331533
6,ARG,ISL,"2018-06-16 18:30:00",300331515
7,PER,DEN,"2018-06-16 21:30:00",300331528
8,CRO,NGA,"2018-06-17 12:30:00",300331523
9,CRC,SRB,"2018-06-17 17:30:00",300331529
10,GER,MEX,"2018-06-17 20:30:00",300331502
11,BRA,SUI,"2018-06-17 23:30:00",300331525
12,SWE,KOR,"2018-06-18 17:30:00",300331499
13,BEL,PAN,"2018-06-18 20:30:00",300331539
14,TUN,ENG,"2018-06-18 23:30:00",300331554
15,POL,SEN,"2018-06-19 17:30:00",300331545
16,COL,JPN,"2018-06-19 20:30:00",300331550
17,RUS,EGY,"2018-06-19 23:30:00",300331495
18,POR,MAR,"2018-06-20 17:30:00",300331511
19,URU,KSA,"2018-06-20 20:30:00",300331530
20,IRN,ESP,"2018-06-20 23:30:00",300331496
21,FRA,PER,"2018-06-21 17:30:00",300331527
22,DEN,AUS,"2018-06-21 20:30:00",300331518
23,ARG,CRO,"2018-06-21 23:30:00",300331513
24,BRA,CRC,"2018-06-22 17:30:00",300331540
25,NGA,ISL,"2018-06-22 20:30:00",300331497
26,SRB,SUI,"2018-06-22 23:30:00",300340183
27,BEL,TUN,"2018-06-23 17:30:00",300331547
28,KOR,MEX,"2018-06-23 20:30:00",300331549
29,GER,SWE,"2018-06-23 23:30:00",300331501
30,ENG,PAN,"2018-06-24 17:30:00",300331546
31,JPN,SEN,"2018-06-24 20:30:00",300331505
32,POL,COL,"2018-06-24 23:30:00",300331508
33,URU,RUS,"2018-06-25 19:30:00",300331516
34,KSA,EGY,"2018-06-25 19:30:00",300331509
35,ESP,MAR,"2018-06-25 23:30:00",300340184
36,IRN,POR,"2018-06-25 23:30:00",300331500
37,DEN,FRA,"2018-06-26 19:30:00",300331512
38,AUS,PER,"2018-06-26 19:30:00",300331506
39,NGA,ARG,"2018-06-26 23:30:00",300331519
40,ISL,CRO,"2018-06-26 23:30:00",300331510
41,KOR,GER,"2018-06-27 19:30:00",300331532
42,MEX,SWE,"2018-06-27 19:30:00",300331548
43,SRB,BRA,"2018-06-27 23:30:00",300331521
44,SUI,CRC,"2018-06-27 23:30:00",300331534
45,JPN,POL,"2018-06-28 19:30:00",300331507
46,SEN,COL,"2018-06-28 19:30:00",300331553
47,ENG,BEL,"2018-06-28 23:30:00",300340182
48,PAN,TUN,"2018-06-28 23:30:00",300331520
49,FRA,ARG,"2018-06-30 19:30:00",300331537
50,URU,POR,"2018-06-30 23:30:00",300331544
51,ESP,RUS,"2018-07-01 19:30:00",300331517
52,CRO,DEN,"2018-07-01 23:30:00",300331498
53,BRA,MEX,"2018-07-02 19:30:00",300331535
54,BEL,JPN,"2018-07-02 23:30:00",300331551
55,SWE,SUI,"2018-07-03 17:30:00",300331514
56,COL,ENG,"2018-07-03 23:30:00",300331542
57,URU,FRA,"2018-07-06 19:30:00",300331543
58,BRA,BEL,"2018-07-06 23:30:00",300331538
59,SWE,ENG,"2018-07-07 19:30:00",300331541
60,RUS,CRO,"2018-07-07 23:30:00",300331504
